Ik heb trek in hagelslag.	I'm hungry for hagelslag.
Ik ga straks ontbijten.	I will eat breakfast in a bit.
Mijn telefoon doet het niet meer.	My phone doesn't work anymore
Heb jij nog iets nodig uit de supermarkt?	Do you need anything from the supermarket?
Ik denk niet dat deze trein toegankelijk is.	I don't think this train is accessible.
Heb jij de kaartjes , of liggen ze nog thuis?	Do you have the tickets, or are they still at home?
Ik kan mijn haarelastiekje niet vinden.	I can't find my hair tie.
Vergeet niet je medicijnen te nemen.	Don't forget to take your medication.
Het is al erg laat.	It's very late already.
Ik denk dat ik naar bed ga.	I think I'm going to bed.
Ik vind dat een beetje te duur.	I think that's a bit too expensive.
Je telefoon is bijna leeg , ik zou hem even opladen.	Your phone is almost dead, I'd charge it if I were you.

